,code,description,disciplinary course(s),consecutive course(s),faculty,cancel_course
761,"cs245, cs240",fundamental principles of data science including algorithms processes methods data-analytic thinking and tools to support problem-focused data-analytic thinking introduction to topics in data science: data manipulation data analysis with statistics and machine learning data communication with information visualization and data at scale,['disciplinary course(s): st216 or\nst211'],"['consecutive course(s): cs246, cs345, cs347, cs348, cs385, cs450']",sci,"['st216', 'st211', 'cs246', 'cs345', 'cs347', 'cs348', 'cs385', 'cs450']"
1072,"cm390, beb291",advanced academic article search via various academic databases patent mapping for research research methodology tools for drafting research proposal guidelines for preparing research proposal and proposal presentation,['disciplinary course(s): cm202 and cm211 and cm223 and cm232'],['consecutive course(s): cm492'],sci,"['cm202', 'cm211', 'cm223', 'cm232', 'cm492']"
1150,"cs354, cs457",advanced database management system design principles and techniques topics may be selected from: access methods query processing and optimization transaction management: concurrency control recovery and data security; distributed database systems: concepts design and transaction management and introduction to object-oriented database systems,['disciplinary course(s): cs251'],[],sci,['cs251']
1906,"ae200, che200",bonding in organic molecules classes and nomenclature of organic compounds characteristic reactions of organic compounds reaction mechanism stereochemistry inductive effect steric effect and resonance effect nucleophilic addition and substitution elimination reaction electrophilic addition and substitution amino acids and proteins sugars and carbohydrates fats and oils buffer solutions drug design and drug delivery system,[],[],eng,[]
1910,"ae284, che284",laboratory for quantitative analysis such as gravimetry and titrimetry by acid-base precipitation and redox reactions separation by extraction recrystallization and various kinds of distillation determination of chemical equilibrium constant fermentation synthesis of chemical compounds,['consecutive course(s): ae285'],[],eng,['ae285']
1924,"ae406, ae407, ae408",current interesting topics and modern developments in various fields of chemical engineering,['disciplinary course(s): ได้รับอนุมัติจากอาจารย์ผู้stอน'],[],eng,[]
1937,"ce100, tse100",ethical issues relevant to the engineering profession potential impact of technoloty transfers and implementation with respect to society and its members potential problems that may arise are studied along with possible ways to prevent them from occurring and ways to deal with them once they occur grading is in s or u,[],[],eng,[]
1948,"ce203, ce271",properties of fluid; fluid static; momentum and energy equations; equation of continuity and motion; similitude and dimensional analysis; flow in pipes; flow measurement; steady incompressible flow,['disciplinary course(s): sc133'],"['consecutive course(s): ce204, ce371, ce372, ce471, ce486']",eng,"['sc133', 'ce204', 'ce371', 'ce372', 'ce471', 'ce486']"
1954,"ce222, ce320",torsion of noncircular sections and thin-walled members; curved beams unsymmetrical bending; shear center; thin-walled cylinders and spheres under pressure; cables; members under combined loading; mohr’s circle; failure theory; introduction to energy methods; impact and repeated loading; introduction to structural vibration,['disciplinary course(s): ce221'],[],eng,['ce221']
1966,"ce332, ce421",elastic and strength properties of wood; design of beams compression members tension members joints; codes and specifications of steel design of both asd and lrfd; design of tension members beams and plate girder columns beam-columns built-up members and steel frames; design of bolted riveted and welded connections; design practice and detailing of steel and timber structures,['disciplinary course(s): ce321 or\nparallel degree/ dual degree ce321'],"['consecutive course(s): ce429, ce439, ce444']",eng,"['ce321', 'ce321', 'ce429', 'ce439', 'ce444']"
1986,"ce444, ce545",introduction to building information modeling (bim); computer applications for bim; modeling of basic structural models; annotations and texts for construction documents; schedules and detailing for construction; integration among architectural models structural models and mechanical-electrical-piping models within bim approach,['disciplinary course(s): ce201 and ce331 and ce332 and ce341 or\nce201 and ce331 and parallel degree/ dual degree ce332 and parallel degree/ dual degree ce341'],[],eng,"['ce201', 'ce331', 'ce332', 'ce341', 'ce201', 'ce331', 'ce332', 'ce341']"
1996,"ce491, de491",students are trained to research analyse discuss and write reports students may choose the selected topics or their topics interested and have to present their works in the class each student requires to submit a report and makes a presentation,['disciplinary course(s): approved by department/instructor'],[],eng,[]
2016,"cn102, cn103",practice using development tools and programming on given problems,['disciplinary course(s): parallel degree/ dual degree cn101'],[],eng,['cn101']
2035,"cn403, cn406",working in companies or industries related to computer engineering for at least 80 hours under supervision of industrial supervisors and the faculty staffs students are required to submit a report and give an oral presentation,['disciplinary course(s): cn201\nเป็นนักศึกษาชั้นปีที่ 4 มีหน่วยกิตstะstมในกลุ่มรหัst วพ. cn รวมไม่น้อยกว่า 22 หน่วยกิต'],['consecutive course(s): cn404'],eng,"['cn201', 'cn404']"
2037,"cn409, cn408",topics of current interest and new developments in various fields in computer engineering,['disciplinary course(s): เป็นนักศึกษาชั้นปีที่ 4 หรือได้รับอนุมัติจากอาจารย์ผู้stอน'],[],eng,[]
2064,"ie367, ie366",interesting topics for operation research and industrial statistics,[],[],eng,[]
2167,"me481, au481",project related to mechanical engineering for students to self-practice in conducting experiment research development or study in specific topics under advisement of faculty members written report and oral presentations are required upon completion of the project,['disciplinary course(s): stอบได้วิชาเฉพาะพื้นฐานทุกวิชา และมีstถานะเทียบเท่านักศึกษาชั้นปีที่ 4 และstอบได้วิชา me480 หรือได้รับอนุมัติจากอาจารย์ผู้stอนและหัวหน้าภาmaวิชาฯ'],[],eng,['me480']
2169,"me484, me485, me487, me486",the new technology of special interest in mechanical engineering,['disciplinary course(s): ได้รับอนุมัติจากอาจารย์ผู้stอนและหัวหน้าภาmaวิชาฯ'],[],eng,[]
2174,"vte260, ie251",manufacturing processes such as casting forming machining and welding the use of these equipment tool and machineries in manufacturing manufacturing processes and cost standards in engineering metrology and instrumentation allowances and safety zone rules basic machine maintenance practices in various fundamental manufacturing processes cnc machining welding and computer-aided manufacturing,['consecutive course(s): me364'],[],eng,['me364']
2181,"vte491, vte492",students must be trained or work in industries or similar sectors for at least 15 weeks study and solve the problem in industry submissions of reports are required together with comments or certifications from the trainers,['disciplinary course(s): นักศึกษาชั้นปีที่ 3 ขึ้นไป'],[],eng,[]
2311,"ei301, ei302",laboratory work and design projects on topics in industrial electrical engineering students are required to complete design projects,['disciplinary course(s): ei202 and ei212 and le241 and le260'],['consecutive course(s): ei302'],eng,"['ei202', 'ei212', 'le241', 'le260', 'ei302']"
2472,"sf341, sf342",• put previous knowledge in real life projects • experience developing software with a software process • use tool in real project • work as a team in this course students will use what they have learned in a software development project they will work by using a software process and various tools the course focuses on providing real work experience to the students therefore students must not only deliver a working software but also demonstrate professional practices,[],[],eng,[]
2618,"ie306, ie307",interesting topics for management engineering,[],[],eng,[]
2624,"ie342, ie445",basic knowledge of human body function and cognitive human anthropometry and movements musculoskeletal system mechanical energy in the human body and energy consumption at work interaction of man-machine-environmental system measurements of work stress and strain on human human capacity and limitation human factors in industrial work designs: tools machines workstations and working environments human factors in repetitive works shift works working motivation aging and fatigues,['disciplinary course(s): นักศึกษาชั้นปีที่ 3 หรือstูงกว่า'],['consecutive course(s): ie449'],eng,['ie449']
2662,"le364, ees441",basic design concepts; codes and standards; power distribution schemes; electrical wires and cables; raceways; electrical equipment and apparatus; load calculation; power factor improvement and capacitor bank circuit design; lighting and appliances circuit design; motor circuit design; load feeder and main schedule; emergency power systems; short circuit calculation; grounding systems for electrical installation,['disciplinary course(s): le360'],[],eng,['le360']
2703,"me332, me431",energy conversion principles and availability concept fuels and combustion analysis types and characteristics of power plants load calculation hydro power plant diesel power plant steam power plant steam turbine boiler condenser feed water heater and auxiliary equipment gas turbine power plant combined cycle power plant nuclear power plant introduction to current power plant technology control and instrumentation power plant economics and environmental impacts,['disciplinary course(s): me230'],[],eng,['me230']
2705,"me364, me374",product design under engineering principles design for manufacturing business opportunity for new product design method modeling decision making risk pricing selections of materials and manufacturing process team working creavitiy and innovation,['disciplinary course(s): ie251 or\nvte260\n- หรือได้รับอนุมัติจากอาจารย์ผู้stอนและหัวหน้าภาmaวิชาฯ - stำหรับนักศึกษาหลักstูตรวิศวกรรมศาstบัณฑิต stาขาวิศวกรรมเทmaโนโลยียานยนจ์ ต้องผ่านรายวิชาบังmaับก่อน vte260 หรือได้รับอนุมัติจากอาจารย์ผู้stอนและหัวหน้าภาmaวิชาฯ'],[],eng,"['ie251', 'te260', 'te260']"
2827,"ce484, ce587",concept and organization of ecosystem; environmental impact assessment (eia) in thailand eia methodology; prediction of impacts: air quality noise water quality and its environmental impact; public participation; mitigation of environmental impact; environmental quality monitoring: interrelationship of engineering aspects and environmental parameters,[],[],eng,[]
3046,"bas210, mts312",definition and roles of marketing modern marketing concepts; marketing system consumer behavior marketing mix tools for marketing management and responsibility ethics of marketers,[],[],si,[]
3047,"bas215, mts258",the principles of micro and macro economics with applications in basic economic problems and applications for technologists factors that influence supply and demand of products consumer behavior individual and market demand production cost of production profit maximization and competitive supply analysis of competitive markets market structures and competitive strategy pricing with market power markets with asymmetric information analysis of gross national product determination of national income fiscal and monetary policies importance of international trade and finance on balance of payments and national income,[],[],si,[]
3117,"css484, css485",topics of current interest in computer engineering applications,['disciplinary course(s): ได้รับการอนุมัติจากหัวหน้าภาmaวิชา'],[],si,[]
3137,"des227, its227",definitions of algorithm analysis of algorithm divide and conquer dynamic programming graph algorithms greedy algorithms state space searches np-completeness and intractability hands-on practice on algorithm design and implementation,[],[],si,[]
3141,"des229, its229",design concepts of hardware and software interface overview of the trends in human interfaces design graphical user interface interactive software design hardware technology for human interfaces,[],[],si,[]
3156,"des352, its352",hands-on practice with the administration of computer networks and the development of computer network applications topics include: configuring network interfaces; designing and building switched and routed networks; monitoring network activities; and programming client/server applications,[],[],si,[]
3213,"gts123, its100",computer system components and organization hardware and software interaction introduction to data processing and databases algorithms and programming languages programming in high-level languages program design and development practical laboratories are essential parts of the course designed to develop students’ programming skills and understanding of computer system these skills are important foundations for other technical courses,[],[],si,[]
3314,"mes392, mes391",students are required to conduct tests and experiments on physical and mechanical properties of materials mechanisms fluid mechanics thermodynamics and heat transfer combustion and internal combustion engines reports or technical notes on the tests and experiments have to be submitted for grading,[],[],si,[]
3401,"bas111, mts213",an overview of the world of business preparing students for various business-related subjects a comprehensive introduction of in any aspects of business and the environment in which business operates the fundamentals of business covering functional areas of management: accounting marketing operations information systems finance and legal studies a study of organization and management evolution of thought and theory of management management functions: planning organizing directing and controlling human factors in organizations management ethics,[],[],si,[]
3487,"des231, its231",hands-on practice and experiments of topics on data structures and algorithms,[],[],si,[]
3786,"dx445, dsi310",data exploration investigation the properties of data and visualizing data pre-proposing the data that include data cleaning feature extraction and feature selection,[],[],inno,[]
3804,"him301, him302",-,[],[],inno,[]
3873,"dx446, dsi311",algorithms for classification regression clustering association analysis and sequential data analysis,[],[],inno,[]
3874,"dx447, dsi312",data integration from various sources key performance indicator design data extraction transformation and loading data visualization and dashboard design,[],[],inno,[]
3875,"dx448, dsi313",introduction to marketing analytics and customer analysis market segmentation preference measurement customer lifetime value new product decisions pricing analytics and optimization advertising sales promotions,[],[],inno,[]
3876,"dx449, dsi314",apply state of the art business intelligence data preparation and data mining techniques to a specific case study and dataset starting with a business objective and data work through all stages of an appropriate methodology to extract knowledge from the data in accordance with the business objectives and present the results to stakeholders,[],[],inno,[]
3988,"ip100, ipi100",the meaning and major concepts of philosophy eg god truth goodness beauty; debates and questions in subfields of philosophy eg metaphysics epistemology ethics aesthetics logics; the relations between philosophy religion and theology,[],[],cis,[]
3990,"ip101, ipi101",basic concepts in politics ie state political system bureaucracy the making of public policy comparative politics political ideologies and international politics,[],[],cis,[]
3993,"ip102, ipi102",the general principles of microeconomics; laws of supply of and demand for goods; introduction to theories of consumption and production; price and output determination in perfectly and imperfectly competitive markets; the role of government intervention; introductory concepts of market failures,['consecutive course(s): ip224'],[],cis,['ip224']
3995,"ip200, ipi200",nature of law; types of laws; evolution theories nature and basic principles of public law; state as an institution in public law; legal methods in public law,[],[],cis,[]
3997,"ip201, ipi201",modern social and political philosophy and related concepts eg liberalism citizenship nationalism democracy,[],[],cis,[]
3999,"ip202, ipi202",evolution of thai politics and government; the birth of modern state; the 1932 revolution; authoritarianism in thai politics; economic and social changes leading to the growth of democratic forces; problems in current thai politics; ex-parliamentary politics; the role of thammasat university in thai politics,[],[],cis,[]
4004,"ip220, ipi220",major issues in ethics and morality eg justice happiness good life liberty utility responsibility; a study of major thinkers and schools of thought in ethics,[],[],cis,[]
4006,"ip225, ipi225",monetary market equilibrium; product market equilibrium; foreign exchange market equilibrium; shifts in market equilibrium; product and labor markets; aggregated demand and supply in closed and open economies; inflation unemployment and economic stability policy; economic growth theory; macroeconomics analysis of current economic situations,['disciplinary course(s): ip103\nstอบผ่าน ip103'],[],cis,"['ip103', 'ip103']"
4016,"ip320, ipi320",history of western philosophy from the greek era to the present; changes in debates and concepts of major philosophers,[],[],cis,[]
4018,"ip323, ipi323",concepts and methods in the study of comparative politics; the comparison of dictatorship and democracy; democratization; major types of democracy in the world,[],[],cis,[]
4020,"ip324, ipi324",major theories and approaches in international relations from the birth of modern state to the present; the influence of world politics on thailand,[],[],cis,[]
4022,"ip356, ipi376",the role of religion towards state; relations between religion and political movements; contemporary debates on religion-state relations,[],[],cis,[]
4026,"ip369, ipi366",foundation of international political economy; theories and approaches in international political economy; changes in global political and economic orders; power relations and bargaining processes in international politics and their impact on allocation and distribution of economic resources; transnational factor and resource mobilization,[],[],cis,[]
4028,"ip378, ipi367",development theories models approaches and strategies after the second world war; interaction and role of development actors and institutions in providing international aid; problems in international development including the impacts of development projects/programs on socio-economic development in aid recipient countries,[],[],cis,[]
4038,"ip467, ip496",history of gender and sexuality in the west and the east; gender and sexuality in the context of thai society,[],[],cis,[]
4064,"ipi321, ip321",major concepts in eastern philosophy (eg metaphysics ethics theology) and their relations with social political and cultural contexts; thai philosophy,[],[],cis,[]
4066,"ipi325, ip325",concepts and theories of human rights in philosophical political and economic perspectives; the formation of international human rights movements and international covenants on human rights; human rights in international relations; debates between the west and other societies on the universality of human rights,[],[],cis,[]
4067,"ipi331, ip331",introduction to econometrics; statistical techniques for economic analysis; inferential statistics; ordinary least square (ols) regression; ols hypothesis; data exploration and test of ols hypothesis; econometric analysis with simple and multiple regression; regression analysis of categorical and limited dependent variable models; application of statistical packages (eg stata spss eviews) for analyzing empirical economic data,['disciplinary course(s): approved by department/instructor'],[],cis,[]
4093,"si324, cis111",the meaning principles philosophy ideology and choices of development from the various schools of thought in social studies the course considers the relationship between economic social cultural political physical factors that affect development; development strategies and the impacts of development,[],[],cis,[]
4151,"ip103, ipi103",the general principles of macroeconomics; goals and problems in macroeconomics; national income and economic indicators; introduction to fiscal and monetary policies; introductory concepts of international trade and finance; economic development with special reference to the thai case,['consecutive course(s): ip225'],[],cis,['ip225']
4161,"ip221, ipi221",deductive and inductive reasoning; fallacies in reasoning; reasoning in everyday life,[],[],cis,[]
4165,"ip222, ipi222",major concepts and principles of administrative law; administrative organization; public authority; state property; administrative act; the role of administrative court in thailand,[],[],cis,[]
4167,"ip223, ipi223",development of legal and judicial system of modern thailand; comparison between legal and judicial system of thailand and other major countries,[],[],cis,[]
4176,"ip322, ipi322",concepts in metaphysics and epistemology eg reality truth phenomenon causation time and space definitions and sources of knowledge justification and scope of knowledge,[],[],cis,[]
4181,"ip330, ipi330",algebra and calculus for economics; basic probability theory; correlation and regression used for analyzing the relationship between economic variables,['disciplinary course(s): tu151 and tu155\nstอบผ่าน tu151 tu155'],['consecutive course(s): ip331'],cis,"['tu151', 'tu155', 'tu151', 'tu155', 'ip331']"
4185,"ip332, ipi332",dynamics and changes in thai economy from the bowring treaty to the present; important economic events and issues; roles of financial and fiscal policies in thai economic development; role of interest and pressure groups in economic policy formulation and changes; influence of global economic dynamism on thai economy,[],[],cis,[]
4188,"ip358, ip486",important issues in the fields of philosophy presented via film such as reality and knowledge thereof ethical dilemma a critical study of film using philosophical method a basic understanding of concepts in philosophy of film eg objectivity subjectivity sensation,[],[],cis,[]
4231,"ci204, si205",the meaning characteristics and structure of business including the basic principles of administration which consist of management marketing finance and accounts aside from these topics the course focuses on the study of economic political social and cultural factors which affect businesses and can be applied to the study of other disciplines,[],[],cis,[]
4235,"cis113, si383",the structure vocabulary and language functions used for communication in office and business transactions,[],[],cis,[]
0,am100,basics concepts in applied mathematics mathematical modeling operations research and computational mathematics,[],[],sci,[]
3,am101,limit and continuity of single variable functions the derivative and its applications antiderivatives and indefinite integrals techniques of integrations definite integrals and applications of the definite integrals in geometry and physics improper integrals and convergence tests infinite series and convergence tests power series and theorem of taylor series software programme for calculus of single variable functions,['disciplinary course(s): ไม่นับหน่วยกิตให้ผืที่กำลังศึกษาหรือstอบได้ ma.111 หรือ ma.211 หรือ ma.216 หรือ ma.218'],"['consecutive course(s): am102, st326']",sci,"['ma.111', 'ma.211', 'ma.216', 'ma.218', 'am102', 'st326']"
5,am102,transformation of coordinate systems polar coordinates and graphing vectors lines and planes in 3d- space functions of several variables and suface plot limits and continuity of several variables functions partial derivatives higher-order partial derivatives implicit functions theorem applications of partial derivatives in optimization multiple integrations differential vector calculus introduction to line integrals and surface integrals gauss’s theorem green’s theorem and stokes’ theorem software programme for calculus of several variable functions,['disciplinary course(s): am101'],"['consecutive course(s): am201, am311, am327, ma316, ma351, ma412, st226, st321, st327']",sci,"['am101', 'am201', 'am311', 'am327', 'ma316', 'ma351', 'ma412', 'st226', 'st321', 'st327']"
7,am151,symbolic logic methods of proof proof of quantifier sentences real number system properties of real numbers sets properties and theorems of sets relations equivalence relations partial order relations functions and types of functions,"['consecutive course(s): am211, am457, ma332, ma337, ma338, ma366, ma368']",[],sci,"['am211', 'am457', 'ma332', 'ma337', 'ma338', 'ma366', 'ma368']"
8,am200,logic algebra of sets relations and functions recurrence relations generating functions basic concepts in graph theory number representation in computer boolean algebra and combinatorial circuits finite-state machines finite automata basic concepts in algebraic system note : 1 this subject is equivalent to cs 101 discrete structures 2 there is no credit for students who currently taking or have earned credits of cs 101,['disciplinary course(s): 1.วิชานี้เทียบเท่า(equivalent)กับวิชา cs.101 โmaรงstร้างแบบไม่ต่อเนื่อง 2.ไม่นับหน่วยกิตให้ผู้ที่กำลังศึกษา หรือstอบได้cs.101'],"['consecutive course(s): am346, am411, am448, am451, ma338, ma366, ma367']",sci,"['cs.101', 'cs.101', 'am346', 'am411', 'am448', 'am451', 'ma338', 'ma366', 'ma367']"
9,am246,data structures programming basic data structures: stacks queues linked list trees graphs recursion sorting and searching algorithms,['disciplinary course(s): cs103'],"['consecutive course(s): am347, am446']",sci,"['cs103', 'am347', 'am446']"
11,am311,real number system topology on real numbers bolzano–weierstrass theorem sequences of functions pointwise convergence and uniformly convergence of sequences of functions series of functions pointwise convergence and uniformly convergence of series of functions properties of uniformly convergence of series of functions maclaurin series taylor series fourier series fourier integral and transform,['disciplinary course(s): am102 and ma221'],['consecutive course(s): ma317'],sci,"['am102', 'ma221', 'ma317']"
12,am317,partial differential equations finite difference methods finite element methods methods of line integral and integral equations navier-stoke’s equations,['disciplinary course(s): ma351'],[],sci,['ma351']
13,am319,linear programming examples of problems using geometric method simplex method duality sensitivity analysis revised simplex method applications of linear programming note : there is no credit for students who are studying or passed st 366,['disciplinary course(s): ma332\nหมายเหตุ : ไม่นับหน่วยกิตให้ผู้ที่กำลังศึกษาหรือstอบได้ st.366 note : there is no credit for students who are studying or passed st 366.'],"['consecutive course(s): am336, am416']",sci,"['ma332', 'st.366', 'st 366', 'am336', 'am416']"
14,am321,linear programming formulating linear programming models graphical method simplex method duality dual simplex method sensitivity analysis and use of some optimization packages to solve linear programming problems,['disciplinary course(s): ma332 or\nma131\nไม่นับหน่วยกิตให้ผู้ที่กำลังศึกษาหรือstอบได้ st.466'],"['consecutive course(s): am326, am426, am428, am429']",sci,"['ma332', 'ma131', 'st.466', 'am326', 'am426', 'am428', 'am429']"
15,am327,elementary combinatorics and applications recurrence relations generating functions introduction to combinatorial designs polya’s theory of enumeration,['disciplinary course(s): am200 or\ncs101'],[],sci,"['am200', 'cs101']"
17,am331,principle and formulation of mathematical models elementary and advanced methods in formulation of linear and nonlinear mathematical models for discrete and continuous solutions,['disciplinary course(s): am201 or\nma214 or\nma313'],[],sci,"['am201', 'ma214', 'ma313']"
18,am338,boundary value problems general formulation of finite difference method solving elliptic boundary value problems parabolic boundary value problems and hyperbolic boundary value problems by finite difference method general formulation of finite element method solving two-point boundary value problems elliptic boundary value problems and parabolic boundary value problems by finite element method,['disciplinary course(s): ma351 or\nparallel degree/ dual degree ma351'],[],sci,"['ma351', 'ma351']"
20,am426,applications in probability distributions waiting line model queuing theory introduction to stochastic markov process and applications inventory model introduction to simulation,['disciplinary course(s): am321 and st226 or\nam321 and st321'],[],sci,"['am321', 'st226', 'am321', 'st321']"
21,am427,dynamics programming applications in statistics distribution expected value project management decision making theory decision making model under certainty and uncertainty forecasting model simulation and application,['disciplinary course(s): st226 or\nst321'],[],sci,"['st226', 'st321']"
22,am428,introduction to productions and operations management project management forecasting quality management production process planning location and plant layout strategy just in time and lean production,['disciplinary course(s): am321  orapproved by department/instructor'],[],sci,['am321']
23,am437,monte carlo simulation types of simulation generation of random variable simulation statistics simulated data analysis discrete-event simulation and applications computer simulation software simulation initiating with application problem,['disciplinary course(s): st212 or\nst217'],[],sci,"['st212', 'st217']"
24,am448,definition of artificial intelligence system applications and trends of artificial intelligence system machine learning genetic algorithm rote learning learning by analyzing differences decision tree neural network,['disciplinary course(s): am200 and cs103'],[],sci,"['am200', 'cs103']"
26,am451,arrangement and selection binomial theorem pigeonhole principle ramsey numbers inclusion-exclusion principle introduction to combinatorial designs and polya’s theory of enumeration,['disciplinary course(s): am200'],[],sci,['am200']
28,am452,mathematically integrating theory with analysis for applying in problems solving (study evaluation by s or u),['disciplinary course(s): am451'],[],sci,['am451']
29,am457,basic concepts of fuzzy logic and fuzzy sets ordinary sets and fuzzy sets basic operations on fuzzy sets fuzzy numbers and operations fuzzy relations,['disciplinary course(s): ma221 and st226 or\nma221 and st321'],[],sci,"['ma221', 'st226', 'ma221', 'st321']"
30,at101,plant classification factors affecting growth and development of plant planting cultural practices breeding harvest and postharvest technologies value added methods production standard of economic plant sustainability in plant production field trips,"['consecutive course(s): at308, at311, at329, at376, at386, at429']",[],sci,"['at308', 'at311', 'at329', 'at376', 'at386', 'at429']"
33,at207,types and importance of economic crops production product resource management product processing and marketing field trips,[],[],sci,[]
35,at262,biology and identification of preliminary plant pests including insects animals plant pathogens and weeds damage symptoms and principle of integrated pest management,['disciplinary course(s): sc113'],['consecutive course(s): at411'],sci,"['sc113', 'at411']"
37,at271,innovation and technology of smart farming choosing suitable agricultural machines innovation and technology for farming in thailand related to production harvesting and value added in agricultural products field trips,[],[],sci,[]
39,at282,development of thinking process critical thinking systematic thinking process applied knowledge parallel thinking synthesis thinking creative thinking applied knowledge and thinking towards agriculture innovation usage and significant of intellectual property in agriculture development intellectual property management research and draft of agricultural patents,[],[],sci,[]
40,at306,principles of meteorology weather and climate related to agriculture irrigation water translocation system management efficiency in water use for agriculture,[],[],sci,[]
41,at307,agricultural product standard in entire production chains principle of hazard analysis critical control point and codex food safety management important of accreditation and international trade certification certification body cb) standard for products (iso/iec 17065 sanitary certification farm evaluation and standard certificate of plant production field trips,[],[],sci,[]
42,at313,principles methods and techniques in plant breeding based on hybridization and selection induced mutation biotechnology application genetic engineering f1-hybrid production plant regulation and other laws related to plant varieties field trips,['disciplinary course(s): bt242'],[],sci,['bt242']
43,at327,importance and classification of vegetable factors affecting vegetable production production planning growing methods cultural practices good agricultural practices modern techniques for vegetable production field trips,[],[],sci,[]
44,at333,genetics and statistics for animal breeding estimation of genetic parameters selection mating strategies genetic evaluation and biotechnology for genetic improvement of animals,['disciplinary course(s): bt242'],['consecutive course(s): at447'],sci,"['bt242', 'at447']"
45,at337,animal sanitation animal health management sample collection common disease in livestock treatment preventionand control law and standard on animal health,[],[],sci,[]
46,at363,the importance of insects insect biology insect classification identification of major insect plant pests plant damaging characteristic and distribution field trips,['disciplinary course(s): sc113'],['consecutive course(s): at464'],sci,"['sc113', 'at464']"
47,at366,importance of fertilizer application in cropping production technology and application of chemical fertilizer organic fertilizer and bio-fertilizer soil conditioners principles of fertilizer application innovation of fertilizer application act of fertilizer field,['disciplinary course(s): at261\nstอบได้ at.261'],[],sci,"['at261', 'at.261']"
48,at367,the importance of plant pathogens biology disseminationand their categories host parasite interaction and gene function of host plant and its pathogenduring pathogenesis,['disciplinary course(s): at362'],[],sci,['at362']
49,at376,ecological role and importance of mushrooms mushroom identification natural life cycle structures and species of mushroom medium sources environmental factors affecting mycelium growth and fruiting body development cultivation techniques general disease and pests of mushroom economic importance of mushroom nutraceuticals and medicinal valuesinnovation inpreservation and products processing from mushroomsmarketing and modern business systemfor mushroom field trips,['disciplinary course(s): at101'],[],sci,['at101']
50,at377,importance of nursery management technology types of nursery nursery construction technology implementation of nursery and its materials and equipmentlabor management efficiency plant materials production and environmental management distribution of plant materials to serve marketing needs prediction of market situation field trips,[],[],sci,[]
51,at407,concept definition and importance of organic farming soil and fertilizer management toward organic farming soil improvement by organic and inorganic materials plant nutrition from organic fertilizer field trips,['disciplinary course(s): at261'],[],sci,['at261']
52,at408,introduction to agroforestry land use for forestry and agriculture principles of agroforestry classification types of plant and animal in agroforestry systems analysis and determination of agroforestry types impacts of ecology and economy of agroforestry systems relationship between agroforestry and rural development information technology for management field trips,[],[],sci,[]
53,at421,definition and principle of plant tissue culture techniques media and media preparation sterilization shoot multiplication and rooting induction application of plant tissue culture techniques for agricultural purposes field trips,['disciplinary course(s): at311'],[],sci,['at311']
